trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.8443279255020152}",20,0,-72.27422131623256,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.8415107819453063}",30,0,-146.21406396220536,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.838670567945424}",20,0,-53.06788161033028,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.8358073613682703}",20,0,-123.14271703138228,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.8329212407100995}",25,8,-68.9180579437129,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.8300122850953675}",25,13,-23.341633070687035,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.8270805742745618}",20,0,-72.44882204869364,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.8241261886220157}",25,0,-140.98180623290153,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.821149209133704}",25,0,-72.7406444429053,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.8181497174250234}",35,18,-57.07044820374564,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.8151277957285543}",20,0,-64.23668361847388,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.8120835268918063}",20,0,-24.937820240952266,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.8090169943749475}",20,0,-106.72752531117503,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.8059282822485159}",20,0,-29.9487673240759,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.8028174751911146}",25,0,-136.658194801374,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.7996846584870906}",30,0,-222.62296607579697,"{0: 18, 1: 2, 2: 3, 3: 4, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.7965299180241964}",25,8,-25.45016728803527,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.7933533402912352}",20,0,-54.67851164635921,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.7901550123756904}",20,0,-86.81371009225862,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.7869350219613374}",20,0,-85.98182345678794,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.7836934573258398}",30,2,-82.31348234065744,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.7804304073383298}",25,10,-7.246231685029635,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.7771459614569709}",20,3,-86.23785618456549,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
132,False,"{'a': 0.5, 'e': 0.7738402097265062}",20,2,-45.83030267419337,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.7705132427757893}",20,0,-63.02062544450981,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.7671651518152997}",30,0,-108.29559963652483,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.7637960286346421}",25,0,-131.09919077627632,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.760405965600031}",25,15,-29.1771834634209,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.7569950556517565}",25,0,-27.846515907149776,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.7535633923016379}",20,9,-85.21689160627477,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
139,False,"{'a': 0.5, 'e': 0.7501110696304596}",25,0,-30.65468418749279,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.7466381822853914}",20,0,-109.55254030069355,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
141,False,"{'a': 0.5, 'e': 0.7431448254773942}",25,1,-67.35393797085544,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.7396310949786098}",20,0,-60.18827935003477,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
